,Unnamed: 0,index,word,contain_ceo,last_aei,length,space,start
294,294,214,Hong Kong,0,0,9,1,1
295,295,276,But Republicans,0,0,15,1,1
296,296,276,Fiscal Cliff,0,0,12,1,0
297,297,277,But Republicans,0,0,15,1,1
298,298,277,Fiscal Cliff,0,0,12,1,0
299,299,278,But Republicans,0,0,15,1,1
300,300,278,Fiscal Cliff,0,0,12,1,0
301,301,279,But Republicans,0,0,15,1,1
302,302,279,Fiscal Cliff,0,0,12,1,0
303,303,280,But Republicans,0,0,15,1,1
304,304,280,Fiscal Cliff,0,0,12,1,0
305,305,281,But Republicans,0,0,15,1,1
306,306,281,Fiscal Cliff,0,0,12,1,0
307,307,282,But Republicans,0,0,15,1,1
308,308,282,Fiscal Cliff,0,0,12,1,0
309,309,283,But Republicans,0,0,15,1,1
310,310,283,Fiscal Cliff,0,0,12,1,0
311,311,284,But Republicans,0,0,15,1,1
312,312,284,Fiscal Cliff,0,0,12,1,0
313,313,285,But Republicans,0,0,15,1,1
314,314,285,Fiscal Cliff,0,0,12,1,0
315,315,286,But Republicans,0,0,15,1,1
316,316,286,Fiscal Cliff,0,0,12,1,0
317,317,287,But Republicans,0,0,15,1,1
318,318,287,Fiscal Cliff,0,0,12,1,0
319,319,288,But Republicans,0,0,15,1,1
320,320,288,Fiscal Cliff,0,0,12,1,0
321,321,289,The Senate,0,1,10,1,1
322,322,290,The Senate,0,1,10,1,1
323,323,291,The Senate,0,1,10,1,1
324,324,292,The Senate,0,1,10,1,1
325,325,293,The Senate,0,1,10,1,1
326,326,294,The Senate,0,1,10,1,1
327,327,295,The Senate,0,1,10,1,1
328,328,296,The Senate,0,1,10,1,1
329,329,297,The Senate,0,1,10,1,1
330,330,298,The Senate,0,1,10,1,1
331,331,299,The Senate,0,1,10,1,1
332,332,300,The Senate,0,1,10,1,1
333,333,301,The Senate,0,1,10,1,1
334,334,302,The Senate,0,1,10,1,1
335,335,303,The Senate,0,1,10,1,1
336,336,304,The Senate,0,1,10,1,1
337,337,305,The Senate,0,1,10,1,1
338,338,306,The Senate,0,1,10,1,1
339,339,307,The Senate,0,1,10,1,1
340,340,308,The Senate,0,1,10,1,1
341,341,309,The Senate,0,1,10,1,1
342,342,310,The Senate,0,1,10,1,1
343,343,311,The Senate,0,1,10,1,1
344,344,312,The Senate,0,1,10,1,1
345,345,313,The Senate,0,1,10,1,1
346,346,314,The Senate,0,1,10,1,1
347,347,315,The Senate,0,1,10,1,1
348,348,343,Great News,0,0,10,1,0
349,349,343,For Romney,0,0,10,1,0
350,350,343,Congress Just,0,0,13,1,0
351,351,343,Socked It,0,0,9,1,0
352,352,343,To The,0,1,6,1,0
353,353,343,The Senate,0,1,10,1,0
354,354,343,Fiscal Cliff,0,0,12,1,0
355,355,344,Great News,0,0,10,1,0
356,356,344,For Romney,0,0,10,1,0
357,357,344,Congress Just,0,0,13,1,0
358,358,344,Socked It,0,0,9,1,0
359,359,344,To The,0,1,6,1,0
360,360,344,The Senate,0,1,10,1,0
361,361,344,Fiscal Cliff,0,0,12,1,0
362,362,345,Great News,0,0,10,1,0
363,363,345,For Romney,0,0,10,1,0
364,364,345,Congress Just,0,0,13,1,0
365,365,345,Socked It,0,0,9,1,0
366,366,345,To The,0,1,6,1,0
367,367,345,The Senate,0,1,10,1,0
368,368,345,Fiscal Cliff,0,0,12,1,0
369,369,346,Great News,0,0,10,1,0
370,370,346,For Romney,0,0,10,1,0
371,371,346,Congress Just,0,0,13,1,0
372,372,346,Socked It,0,0,9,1,0
373,373,346,To The,0,1,6,1,0
374,374,346,The Senate,0,1,10,1,0
375,375,346,Fiscal Cliff,0,0,12,1,0
376,376,347,Great News,0,0,10,1,0
377,377,347,For Romney,0,0,10,1,0
378,378,347,Congress Just,0,0,13,1,0
379,379,347,Socked It,0,0,9,1,0
380,380,347,To The,0,1,6,1,0
381,381,347,The Senate,0,1,10,1,0
382,382,347,Fiscal Cliff,0,0,12,1,0
383,383,348,Great News,0,0,10,1,0
384,384,348,For Romney,0,0,10,1,0
385,385,348,Congress Just,0,0,13,1,0
386,386,348,Socked It,0,0,9,1,0
387,387,348,To The,0,1,6,1,0
388,388,348,The Senate,0,1,10,1,0
389,389,348,Fiscal Cliff,0,0,12,1,0
390,390,349,Great News,0,0,10,1,0
391,391,349,For Romney,0,0,10,1,0
392,392,349,Congress Just,0,0,13,1,0
393,393,349,Socked It,0,0,9,1,0
394,394,349,To The,0,1,6,1,0
395,395,349,The Senate,0,1,10,1,0
396,396,349,Fiscal Cliff,0,0,12,1,0
397,397,350,Great News,0,0,10,1,0
398,398,350,For Romney,0,0,10,1,0
399,399,350,Congress Just,0,0,13,1,0
400,400,350,Socked It,0,0,9,1,0
401,401,350,To The,0,1,6,1,0
402,402,350,The Senate,0,1,10,1,0
403,403,350,Fiscal Cliff,0,0,12,1,0
404,404,351,Great News,0,0,10,1,0
405,405,351,For Romney,0,0,10,1,0
406,406,351,Congress Just,0,0,13,1,0
407,407,351,Socked It,0,0,9,1,0
408,408,351,To The,0,1,6,1,0
409,409,351,The Senate,0,1,10,1,0
410,410,351,Fiscal Cliff,0,0,12,1,0
411,411,352,Great News,0,0,10,1,0
412,412,352,For Romney,0,0,10,1,0
413,413,352,Congress Just,0,0,13,1,0
414,414,352,Socked It,0,0,9,1,0
415,415,352,To The,0,1,6,1,0
416,416,352,The Senate,0,1,10,1,0
417,417,352,Fiscal Cliff,0,0,12,1,0
418,418,353,Great News,0,0,10,1,0
419,419,353,For Romney,0,0,10,1,0
420,420,353,Congress Just,0,0,13,1,0
421,421,353,Socked It,0,0,9,1,0
422,422,353,To The,0,1,6,1,0
423,423,353,The Senate,0,1,10,1,0
424,424,353,Fiscal Cliff,0,0,12,1,0
425,425,354,Great News,0,0,10,1,0
426,426,354,For Romney,0,0,10,1,0
427,427,354,Congress Just,0,0,13,1,0
428,428,354,Socked It,0,0,9,1,0
429,429,354,To The,0,1,6,1,0
430,430,354,The Senate,0,1,10,1,0
431,431,354,Fiscal Cliff,0,0,12,1,0
432,432,355,Great News,0,0,10,1,0
433,433,355,For Romney,0,0,10,1,0
434,434,355,Congress Just,0,0,13,1,0
435,435,355,Socked It,0,0,9,1,0
436,436,355,To The,0,1,6,1,0
437,437,355,The Senate,0,1,10,1,0
438,438,355,Fiscal Cliff,0,0,12,1,0
439,439,356,Great News,0,0,10,1,0
440,440,356,For Romney,0,0,10,1,0
441,441,356,Congress Just,0,0,13,1,0
442,442,356,Socked It,0,0,9,1,0
443,443,356,To The,0,1,6,1,0
444,444,356,The Senate,0,1,10,1,0
445,445,356,Fiscal Cliff,0,0,12,1,0
446,446,357,Great News,0,0,10,1,0
447,447,357,For Romney,0,0,10,1,0
448,448,357,Congress Just,0,0,13,1,0
449,449,357,Socked It,0,0,9,1,0
450,450,357,To The,0,1,6,1,0
451,451,357,The Senate,0,1,10,1,0
452,452,357,Fiscal Cliff,0,0,12,1,0
453,453,358,Great News,0,0,10,1,0
454,454,358,For Romney,0,0,10,1,0
455,455,358,Congress Just,0,0,13,1,0
456,456,358,Socked It,0,0,9,1,0
457,457,358,To The,0,1,6,1,0
458,458,358,The Senate,0,1,10,1,0
459,459,358,Fiscal Cliff,0,0,12,1,0
460,460,359,Great News,0,0,10,1,0
461,461,359,For Romney,0,0,10,1,0
462,462,359,Congress Just,0,0,13,1,0
463,463,359,Socked It,0,0,9,1,0
464,464,359,To The,0,1,6,1,0
465,465,359,The Senate,0,1,10,1,0
466,466,359,Fiscal Cliff,0,0,12,1,0
467,467,360,Great News,0,0,10,1,0
468,468,360,For Romney,0,0,10,1,0
469,469,360,Congress Just,0,0,13,1,0
470,470,360,Socked It,0,0,9,1,0
471,471,360,To The,0,1,6,1,0
472,472,360,The Senate,0,1,10,1,0
473,473,360,Fiscal Cliff,0,0,12,1,0
474,474,361,Great News,0,0,10,1,0
475,475,361,For Romney,0,0,10,1,0
476,476,361,Congress Just,0,0,13,1,0
477,477,361,Socked It,0,0,9,1,0
478,478,361,To The,0,1,6,1,0
479,479,361,The Senate,0,1,10,1,0
480,480,361,Fiscal Cliff,0,0,12,1,0
481,481,362,Great News,0,0,10,1,0
482,482,362,For Romney,0,0,10,1,0
483,483,362,Congress Just,0,0,13,1,0
484,484,362,Socked It,0,0,9,1,0
485,485,362,To The,0,1,6,1,0
486,486,362,The Senate,0,1,10,1,0
487,487,362,Fiscal Cliff,0,0,12,1,0
488,488,363,Great News,0,0,10,1,0
489,489,363,For Romney,0,0,10,1,0
490,490,363,Congress Just,0,0,13,1,0
491,491,363,Socked It,0,0,9,1,0
492,492,363,To The,0,1,6,1,0
493,493,363,The Senate,0,1,10,1,0
494,494,363,Fiscal Cliff,0,0,12,1,0
495,495,364,Great News,0,0,10,1,0
496,496,364,For Romney,0,0,10,1,0
497,497,364,Congress Just,0,0,13,1,0
498,498,364,Socked It,0,0,9,1,0
499,499,364,To The,0,1,6,1,0
500,500,364,The Senate,0,1,10,1,0
501,501,364,Fiscal Cliff,0,0,12,1,0
502,502,365,Great News,0,0,10,1,0
503,503,365,For Romney,0,0,10,1,0
504,504,365,Congress Just,0,0,13,1,0
505,505,365,Socked It,0,0,9,1,0
506,506,365,To The,0,1,6,1,0
507,507,365,The Senate,0,1,10,1,0
508,508,365,Fiscal Cliff,0,0,12,1,0
509,509,366,Great News,0,0,10,1,0
510,510,366,For Romney,0,0,10,1,0
511,511,366,Congress Just,0,0,13,1,0
512,512,366,Socked It,0,0,9,1,0
513,513,366,To The,0,1,6,1,0
514,514,366,The Senate,0,1,10,1,0
515,515,366,Fiscal Cliff,0,0,12,1,0
516,516,367,Great News,0,0,10,1,0
517,517,367,For Romney,0,0,10,1,0
518,518,367,Congress Just,0,0,13,1,0
519,519,367,Socked It,0,0,9,1,0
520,520,367,To The,0,1,6,1,0
521,521,367,The Senate,0,1,10,1,0
522,522,367,Fiscal Cliff,0,0,12,1,0
523,523,368,Great News,0,0,10,1,0
524,524,368,For Romney,0,0,10,1,0
525,525,368,Congress Just,0,0,13,1,0
526,526,368,Socked It,0,0,9,1,0
527,527,368,To The,0,1,6,1,0
528,528,368,The Senate,0,1,10,1,0
529,529,368,Fiscal Cliff,0,0,12,1,0
530,530,369,Great News,0,0,10,1,0
531,531,369,For Romney,0,0,10,1,0
532,532,369,Congress Just,0,0,13,1,0
533,533,369,Socked It,0,0,9,1,0
534,534,369,To The,0,1,6,1,0
535,535,369,The Senate,0,1,10,1,0
536,536,369,Fiscal Cliff,0,0,12,1,0
537,537,424,Mitt Romney,0,0,11,1,0
538,538,425,Mitt Romney,0,0,11,1,0
539,539,426,Mitt Romney,0,0,11,1,0
540,540,427,Mitt Romney,0,0,11,1,0
541,541,428,Mitt Romney,0,0,11,1,0
542,542,429,Mitt Romney,0,0,11,1,0
543,543,430,Mitt Romney,0,0,11,1,0
544,544,431,Mitt Romney,0,0,11,1,0
545,545,432,Mitt Romney,0,0,11,1,0
546,546,439,Mitt Romney,0,0,11,1,0
547,547,440,Mitt Romney,0,0,11,1,0
548,548,441,Mitt Romney,0,0,11,1,0
549,549,442,Mitt Romney,0,0,11,1,0
550,550,443,Mitt Romney,0,0,11,1,0
551,551,444,Mitt Romney,0,0,11,1,0
552,552,445,Mitt Romney,0,0,11,1,0
553,553,446,Mitt Romney,0,0,11,1,0
554,554,447,Mitt Romney,0,0,11,1,0
555,555,448,Mitt Romney,0,0,11,1,0
556,556,449,Mitt Romney,0,0,11,1,0
557,557,450,Mitt Romney,0,0,11,1,0
558,558,451,Mitt Romney,0,0,11,1,0
559,559,452,Mitt Romney,0,0,11,1,0
560,560,453,Mitt Romney,0,0,11,1,0
561,561,454,Mitt Romney,0,0,11,1,0
562,562,455,Mitt Romney,0,0,11,1,0
563,563,456,Mitt Romney,0,0,11,1,0
564,564,457,Mitt Romney,0,0,11,1,0
565,565,458,Mitt Romney,0,0,11,1,0
566,566,459,Mitt Romney,0,0,11,1,0
567,567,460,Mitt Romney,0,0,11,1,0
568,568,476,Social Security,0,0,15,1,0
569,569,477,Social Security,0,0,15,1,0
570,570,478,Social Security,0,0,15,1,0
571,571,479,Social Security,0,0,15,1,0
572,572,480,Social Security,0,0,15,1,0
573,573,481,Social Security,0,0,15,1,0
574,574,482,Social Security,0,0,15,1,0
575,575,483,Social Security,0,0,15,1,0
576,576,484,Social Security,0,0,15,1,0
577,577,485,Social Security,0,0,15,1,0
578,578,486,Social Security,0,0,15,1,0
579,579,487,Social Security,0,0,15,1,0
580,580,488,Social Security,0,0,15,1,0
581,581,489,Social Security,0,0,15,1,0
582,582,490,Social Security,0,0,15,1,0
583,583,491,Social Security,0,0,15,1,0
584,584,492,Social Security,0,0,15,1,0
