,index,word,contain_1,contain_2,contain_3,contain_4,contain_5,length,num_space,start,end
16399,21339, Cuts,0,0,0,0,0,5,1,0,0
16400,21340,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16401,21340, Cuts,0,0,0,0,0,5,1,0,0
16402,21341,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16403,21341, Cuts,0,0,0,0,0,5,1,0,0
16404,21342,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16405,21342, Cuts,0,0,0,0,0,5,1,0,0
16406,21343,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16407,21343, Cuts,0,0,0,0,0,5,1,0,0
16408,21344,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16409,21344, Cuts,0,0,0,0,0,5,1,0,0
16410,21345,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16411,21345, Cuts,0,0,0,0,0,5,1,0,0
16412,21346,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16413,21346, Cuts,0,0,0,0,0,5,1,0,0
16414,21347,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16415,21347, Cuts,0,0,0,0,0,5,1,0,0
16416,21348,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16417,21348, Cuts,0,0,0,0,0,5,1,0,0
16418,21349,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16419,21349, Cuts,0,0,0,0,0,5,1,0,0
16420,21350,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16421,21350, Cuts,0,0,0,0,0,5,1,0,0
16422,21365,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16423,21365, Cuts,0,0,0,0,0,5,1,0,0
16424,21366,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16425,21366, Cuts,0,0,0,0,0,5,1,0,0
16426,21367,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16427,21367, Cuts,0,0,0,0,0,5,1,0,0
16428,21368,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16429,21368, Cuts,0,0,0,0,0,5,1,0,0
16430,21369,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16431,21369, Cuts,0,0,0,0,0,5,1,0,0
16432,21370,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16433,21370, Cuts,0,0,0,0,0,5,1,0,0
16434,21371,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16435,21371, Cuts,0,0,0,0,0,5,1,0,0
16436,21372,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16437,21372, Cuts,0,0,0,0,0,5,1,0,0
16438,21373,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16439,21373, Cuts,0,0,0,0,0,5,1,0,0
16440,21374,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
16441,21374, Cuts,0,0,0,0,0,5,1,0,0
16442,21375,Bush Tax Cuts,0,0,0,0,0,13,2,0,0
